event_id,subject_id,name,year,axis,polarity,description,measurement_basis,source,taxonomy_confirmed,source_confirmed,v4_expansion_observation
V4EXP_NEWDEV2_005_STATUS_POS_2001,NEWDEV2_005,Bob Knight,2001,STATUS,positive,Was hired as Texas Tech head coach.,role_gain,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://texastech.com/news/2001/3/23/knight_returns_to_coaching_at_texas_tech', 'reference': 'https://texastech.com/news/2001/3/23/knight_returns_to_coaching_at_texas_tech', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_NEG_1973,MLV2_DEV_068,Chris Evert,1973,COMPETITIVE,negative,Lost the Roland Garros singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_POS_1974,MLV2_DEV_068,Chris Evert,1974,COMPETITIVE,positive,Won the Roland Garros singles title.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_NEG_1978,MLV2_DEV_068,Chris Evert,1978,COMPETITIVE,negative,Lost the Wimbledon singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_NEG_1979,MLV2_DEV_068,Chris Evert,1979,COMPETITIVE,negative,Lost the Wimbledon singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_NEG_1981,MLV2_DEV_068,Chris Evert,1981,COMPETITIVE,negative,Lost the Australian Open singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_POS_1981,MLV2_DEV_068,Chris Evert,1981,COMPETITIVE,positive,Won the Wimbledon singles title.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_POS_1982,MLV2_DEV_068,Chris Evert,1982,COMPETITIVE,positive,Won the Australian Open singles title.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_NEG_1984,MLV2_DEV_068,Chris Evert,1984,COMPETITIVE,negative,Lost the Roland Garros singles final.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_068_COMPETITIVE_POS_1985,MLV2_DEV_068,Chris Evert,1985,COMPETITIVE,positive,Won the Roland Garros singles title.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'reference': 'https://www.wtatennis.com/legends/50020/chris-evert/record', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_057_PROJECT_NEG_2007,MLV2_DEV_057,Diane Keaton,2007,PROJECT,negative,Because I Said So was heavily criticized and retained as a source-confirmed negative project observation in the V4 review.,overall_project_failure,"{'verification_status': 'CONFIRMED_PREVIOUS_V4_REVIEW', 'url': None, 'reference': 'Los Angeles Times / Rotten Tomatoes', 'lineage_event_id': 'MLV2_DEV_057_E0003', 'lineage_file': 'V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv'}",True,True,True
V4EXP_MLV2_DEV_057_PROJECT_POS_2018,MLV2_DEV_057,Diane Keaton,2018,PROJECT,positive,Book Club became a large commercial hit relative to budget.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Book-Club-%282018%29', 'reference': 'https://www.the-numbers.com/movie/Book-Club-%282018%29', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_081_PROJECT_NEG_2019,NEWDEV2_081,Elizabeth Banks,2019,PROJECT,negative,Charlie's Angels had weak box office relative to production budget and expectations.,commercial_underperformance,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Charlies-Angels-%282019%29', 'reference': 'https://www.the-numbers.com/movie/Charlies-Angels-%282019%29', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_081_PROJECT_POS_2023,NEWDEV2_081,Elizabeth Banks,2023,PROJECT,positive,Cocaine Bear exceeded expectations and produced materially stronger theatrical performance.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Cocaine-Bear-%282023%29', 'reference': 'https://www.the-numbers.com/movie/Cocaine-Bear-%282023%29', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_084_PROJECT_NEG_2013,NEWDEV2_084,Elizabeth Olsen,2013,PROJECT,negative,Oldboy was a commercial failure.,commercial_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Oldboy-%282013%29', 'reference': 'https://www.the-numbers.com/movie/Oldboy-%282013%29', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_084_PROJECT_POS_2021,NEWDEV2_084,Elizabeth Olsen,2021,PROJECT,positive,WandaVision became a major critically acclaimed and Emmy-nominated success.,project_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.vanityfair.com/hollywood/2021/06/wandavision-was-elizabeth-olsens-exercise-in-reclaiming-her-and-wandas-power-little-gold-men', 'reference': 'https://www.vanityfair.com/hollywood/2021/06/wandavision-was-elizabeth-olsens-exercise-in-reclaiming-her-and-wandas-power-little-gold-men', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_065_COMPETITIVE_NEG_1974,NEWDEV2_065,George Foreman,1974,COMPETITIVE,negative,Lost the heavyweight title to Muhammad Ali.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.reuters.com/sports/american-boxing-legend-george-foreman-dead-76-family-says-2025-03-22/', 'reference': 'https://www.reuters.com/sports/american-boxing-legend-george-foreman-dead-76-family-says-2025-03-22/', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_065_COMPETITIVE_NEG_1991,NEWDEV2_065,George Foreman,1991,COMPETITIVE,negative,Lost a heavyweight title challenge to Evander Holyfield.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.reuters.com/sports/american-boxing-legend-george-foreman-dead-76-family-says-2025-03-22/', 'reference': 'https://www.reuters.com/sports/american-boxing-legend-george-foreman-dead-76-family-says-2025-03-22/', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_065_COMPETITIVE_POS_1994,NEWDEV2_065,George Foreman,1994,COMPETITIVE,positive,Regained the heavyweight championship by knocking out Michael Moorer.,explicit_outcome,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.reuters.com/sports/american-boxing-legend-george-foreman-dead-76-family-says-2025-03-22/', 'reference': 'https://www.reuters.com/sports/american-boxing-legend-george-foreman-dead-76-family-says-2025-03-22/', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_066_STATUS_NEG_2010,NEWDEV2_066,George Galloway,2010,STATUS,negative,Lost the Poplar and Limehouse parliamentary election.,election_loss,"{'verification_status': 'CONFIRMED_PREVIOUS_V4_REVIEW', 'url': None, 'reference': 'The Guardian election coverage', 'lineage_event_id': 'NEWDEV2_066_E002', 'lineage_file': 'V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv'}",True,True,True
V4EXP_NEWDEV2_066_STATUS_POS_2012,NEWDEV2_066,George Galloway,2012,STATUS,positive,Won the Bradford West by-election and returned to Parliament.,election_win,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.parliament.uk/business/news/news-by-year/2012/march/george-galloway-new-mp-for-bradford-west/', 'reference': 'https://www.parliament.uk/business/news/news-by-year/2012/march/george-galloway-new-mp-for-bradford-west/', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_066_STATUS_NEG_2015,NEWDEV2_066,George Galloway,2015,STATUS,negative,Lost his parliamentary seat in the 2015 general election.,election_loss,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://apnews.com/article/britain-gaza-israel-george-galloway-election-rochdale-d81f0a1674b342e71a228b5d76d35563', 'reference': 'https://apnews.com/article/britain-gaza-israel-george-galloway-election-rochdale-d81f0a1674b342e71a228b5d76d35563', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_NEWDEV2_066_STATUS_POS_2024,NEWDEV2_066,George Galloway,2024,STATUS,positive,Won the Rochdale by-election and returned to Parliament.,election_win,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://apnews.com/article/britain-gaza-israel-george-galloway-election-rochdale-d81f0a1674b342e71a228b5d76d35563', 'reference': 'https://apnews.com/article/britain-gaza-israel-george-galloway-election-rochdale-d81f0a1674b342e71a228b5d76d35563', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_027_PROJECT_NEG_1999,MLV2_DEV_027,Jamie Lee Curtis,1999,PROJECT,negative,Virus was a major critical/commercial failure.,commercial_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Virus', 'reference': 'https://www.the-numbers.com/movie/Virus', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_027_PROJECT_POS_2003,MLV2_DEV_027,Jamie Lee Curtis,2003,PROJECT,positive,Freaky Friday became a major commercial success.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Freaky-Friday-%282003%29', 'reference': 'https://www.the-numbers.com/movie/Freaky-Friday-%282003%29', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_028_PROJECT_NEG_1990,MLV2_DEV_028,Jane Curtin,1990,PROJECT,negative,Working It Out was canceled after a short run.,project_cancellation,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.latimes.com/archives/la-xpm-1990-12-06-ca-8319-story.html', 'reference': 'https://www.latimes.com/archives/la-xpm-1990-12-06-ca-8319-story.html', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_028_PROJECT_POS_1996,MLV2_DEV_028,Jane Curtin,1996,PROJECT,positive,3rd Rock from the Sun premiered and became a long-running Emmy-winning sitcom.,project_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://people.com/what-happened-to-cast-of-3rd-rock-from-the-sun-11889454', 'reference': 'https://people.com/what-happened-to-cast-of-3rd-rock-from-the-sun-11889454', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_003_PROJECT_NEG_2012,MLV2_DEV_003,Jennifer Aniston,2012,PROJECT,negative,Wanderlust failed to recoup its production budget theatrically.,commercial_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Wanderlust', 'reference': 'https://www.the-numbers.com/movie/Wanderlust', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_003_PROJECT_POS_2013,MLV2_DEV_003,Jennifer Aniston,2013,PROJECT,positive,We're the Millers became a major commercial hit.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Were-the-Millers', 'reference': 'https://www.the-numbers.com/movie/Were-the-Millers', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_063_PROJECT_NEG_2016,MLV2_DEV_063,John Krasinski,2016,PROJECT,negative,The Hollars had very limited theatrical box office.,low_commercial_reach,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Hollars-The', 'reference': 'https://www.the-numbers.com/movie/Hollars-The', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_063_PROJECT_POS_2018,MLV2_DEV_063,John Krasinski,2018,PROJECT,positive,A Quiet Place became a large commercial hit relative to budget.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Quiet-Place-A-%282018%29', 'reference': 'https://www.the-numbers.com/movie/Quiet-Place-A-%282018%29', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_032_STATUS_NEG_2012,MLV2_DEV_032,Jon Huntsman,2012,STATUS,negative,Ended his presidential campaign after a disappointing New Hampshire result and insufficient support to continue.,election_campaign_loss,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.gq.com/story/huntsmans-out-why-now', 'reference': 'https://www.gq.com/story/huntsmans-out-why-now', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_032_STATUS_POS_2017,MLV2_DEV_032,Jon Huntsman,2017,STATUS,positive,Was appointed U.S. Ambassador to Russia.,appointment_gain,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://history.state.gov/departmenthistory/people/huntsman-jon-m', 'reference': 'https://history.state.gov/departmenthistory/people/huntsman-jon-m', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_005_PROJECT_NEG_1996,MLV2_DEV_005,Julia Roberts,1996,PROJECT,negative,Mary Reilly was a critical and box-office failure.,overall_project_failure,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.vanityfair.com/news/1999/06/canoodling-with-julia', 'reference': 'https://www.vanityfair.com/news/1999/06/canoodling-with-julia', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_005_PROJECT_POS_1997,MLV2_DEV_005,Julia Roberts,1997,PROJECT,positive,My Best Friend's Wedding became a major box-office success.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/My-Best-Friends-Wedding', 'reference': 'https://www.the-numbers.com/movie/My-Best-Friends-Wedding', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_007_PROJECT_NEG_2009,MLV2_DEV_007,Julie Delpy,2009,PROJECT,negative,The Countess had limited commercial impact and mixed-to-negative reception.,overall_project_failure,"{'verification_status': 'CONFIRMED_PREVIOUS_V4_REVIEW', 'url': None, 'reference': 'film archives / Rotten Tomatoes', 'lineage_event_id': 'MLV2_DEV_007_E0003', 'lineage_file': 'V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv'}",True,True,True
V4EXP_MLV2_DEV_007_PROJECT_POS_2013,MLV2_DEV_007,Julie Delpy,2013,PROJECT,positive,Before Midnight achieved strong box office relative to its small production scale and broad acclaim.,commercial_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.the-numbers.com/movie/Before-Midnight', 'reference': 'https://www.the-numbers.com/movie/Before-Midnight', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_036_PROJECT_NEG_2013,MLV2_DEV_036,Laura Dern,2013,PROJECT,negative,Enlightened was canceled after two seasons despite critical acclaim.,project_cancellation,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://time.com/5722419/best-tv-shows-2010s-decade/', 'reference': 'https://time.com/5722419/best-tv-shows-2010s-decade/', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
V4EXP_MLV2_DEV_036_PROJECT_POS_2017,MLV2_DEV_036,Laura Dern,2017,PROJECT,positive,Big Little Lies became a major Emmy-winning television success.,project_success,"{'verification_status': 'CONFIRMED_PUBLIC_SOURCE_RESEARCH_2026-08-16', 'url': 'https://www.televisionacademy.com/shows/big-little-lies', 'reference': 'https://www.televisionacademy.com/shows/big-little-lies', 'lineage_event_id': None, 'lineage_file': None}",True,True,True
