pair_id,pair_origin,pool,subject_id,name,axis,positive_event_id,positive_year,positive_description,negative_event_id,negative_year,negative_description,positive_source_status,negative_source_status,positive_source_reference,negative_source_reference,positive_measurement_basis,negative_measurement_basis,source_pair_eligible,positive_age,negative_age,positive_earlier,abs_year_gap,age_only_pairwise,calendar_earlier_only_pairwise,n_pairs_subject,subject_equal_pair_weight,chronology_gate_passed,model_ready,positive_earlier_calc,age_only_calc
V4PRE_PAIR_011,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_039,Tom Daschle,STATUS,NEWDEV2_039_E001,1995,Became U.S. Senate Democratic leader.,NEWDEV2_039_E002,2004,Lost his Senate reelection race to John Thune.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_039_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_039_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,48,57,True,9,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_012,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_041,Tom Foley,STATUS,NEWDEV2_041_E001,1989,Became Speaker of the U.S. House of Representatives.,NEWDEV2_041_E002,1994,"Lost his House reelection race, becoming the first sitting Speaker defeated since 1862.",CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_041_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_041_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,60,65,True,5,1.0,1.0,2,0.5,True,True,True,1.0
V4PRE_PAIR_013,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_043,Tom Okker,COMPETITIVE,NEWDEV2_043_E001,1973,Won the French Open men's doubles title.,NEWDEV2_043_E002,1968,Lost the U.S. Open singles final in five sets to Arthur Ashe.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_043_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_043_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,29,24,False,5,0.0,0.0,1,1.0,True,True,False,0.0
V4PRE_PAIR_014,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_053,Toni Kroos,COMPETITIVE,NEWDEV2_053_E001,2014,"Won the FIFA World Cup with Germany and joined Real Madrid, beginning a highly successful period.",NEWDEV2_053_E002,2012,Bayern Munich lost the UEFA Champions League final at home to Chelsea.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_053_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_053_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,24,22,False,2,0.0,0.0,1,1.0,True,True,False,0.0
V4PRE_PAIR_015,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_056,Tony Estanguet,COMPETITIVE,NEWDEV2_056_E001,2000,Won Olympic gold in canoe slalom C1 at Sydney.,NEWDEV2_056_E002,2008,Failed to reach the C1 final at the Beijing Olympics.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_056_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_056_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,22,30,True,8,1.0,1.0,4,0.25,True,True,True,1.0
V4PRE_PAIR_016,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_065,George Foreman,COMPETITIVE,NEWDEV2_065_E001,1973,Won the world heavyweight boxing championship by defeating Joe Frazier.,NEWDEV2_065_E002,1974,Lost the heavyweight title to Muhammad Ali in the Rumble in the Jungle.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_065_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_065_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,24,25,True,1,1.0,1.0,3,0.3333333333333333,True,True,True,1.0
V4PRE_PAIR_017,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_066,George Galloway,STATUS,NEWDEV2_066_E001,2005,Won the Bethnal Green and Bow parliamentary seat as a Respect Party candidate.,NEWDEV2_066_E002,2010,Lost his attempt to win the Poplar and Limehouse parliamentary seat.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_066_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_066_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,51,56,True,5,1.0,1.0,3,0.3333333333333333,True,True,True,1.0
V4PRE_PAIR_018,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_067,Gerald Ford,STATUS,NEWDEV2_067_E001,1974,Became President of the United States after Richard Nixon resigned.,NEWDEV2_067_E002,1976,Lost the presidential election to Jimmy Carter.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_067_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_067_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,61,63,True,2,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_019,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_068,Gerard Butler,PROJECT,NEWDEV2_068_E001,2007,300 became an international box-office success and made him a leading action star.,NEWDEV2_068_E002,2017,Geostorm was poorly reviewed and underperformed relative to its large production budget.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_068_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_068_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,38,48,True,10,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_020,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_070,Carol Burnett,PROJECT,NEWDEV2_070_E001,1967,The Carol Burnett Show premiered and became a major long-running television success.,NEWDEV2_070_E002,1991,Her network comeback series The Carol Burnett Show was canceled after a short run.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_070_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_070_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,34,58,True,24,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_021,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_074,Carmen Electra,PROJECT,NEWDEV2_074_E001,1997,Joined Baywatch and gained wide television recognition.,NEWDEV2_074_E002,2005,Dirty Love was critically panned and received multiple Golden Raspberry awards.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_074_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_074_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,25,33,True,8,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_022,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_075,Carmen Basilio,COMPETITIVE,NEWDEV2_075_E001,1957,Defeated Sugar Ray Robinson to win the world middleweight championship.,NEWDEV2_075_E002,1958,Lost the middleweight title back to Robinson in their rematch.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_075_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_075_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,30,31,True,1,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_023,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_077,Dennis Wilson,PROJECT,NEWDEV2_077_E001,1977,"Released Pacific Ocean Blue, a well-regarded solo album and landmark outside the Beach Boys.",NEWDEV2_077_E002,1980,Work on his planned follow-up Bambu stalled and remained unfinished amid financial and personal problems.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_077_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_077_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,33,36,True,3,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_024,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_078,Dennis Ralston,COMPETITIVE,NEWDEV2_078_E001,1963,Helped the United States win the Davis Cup.,NEWDEV2_078_E002,1966,Lost the Wimbledon men's singles final to Manuel Santana.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_078_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_078_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,21,24,True,3,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_025,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_081,Elizabeth Banks,PROJECT,NEWDEV2_081_E001,2012,The Hunger Games and Pitch Perfect franchises elevated her to major mainstream visibility.,NEWDEV2_081_E002,2019,Her Charlie's Angels directing project underperformed at the box office.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_081_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_081_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,38,45,True,7,1.0,1.0,2,0.5,True,True,True,1.0
V4PRE_PAIR_026,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_082,Elizabeth Dole,STATUS,NEWDEV2_082_E001,2002,Won election to the U.S. Senate from North Carolina.,NEWDEV2_082_E002,2008,Lost her Senate reelection bid to Kay Hagan.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_082_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_082_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,66,72,True,6,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_027,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_089,Robert Byrd,STATUS,NEWDEV2_089_E001,1987,Became U.S. Senate Majority Leader.,NEWDEV2_089_E002,1988,Lost the Democratic leadership contest to George Mitchell for the following Congress.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_089_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_089_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,70,71,True,1,1.0,1.0,2,0.5,True,True,True,1.0
V4PRE_PAIR_028,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_090,Tony Trabert,COMPETITIVE,NEWDEV2_090_E001,1955,"Won the French Championships, Wimbledon, and U.S. Championships in a dominant amateur season.",NEWDEV2_090_E002,1956,"After turning professional, he lost major head-to-head professional series to Pancho Gonzales.",CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_090_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_090_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,25,26,True,1,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_029,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_091,Michael Landon,PROJECT,NEWDEV2_091_E001,1974,"Little House on the Prairie premiered, launching another long-running hit series under his creative control.",NEWDEV2_091_E002,1989,"NBC ended Highway to Heaven after ratings fell, closing his final long-running series.",CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_091_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_091_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,38,53,True,15,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_030,PREEXISTING_414_SOURCE_REVIEW,NEW_DEV_2_CONSUMED,NEWDEV2_093,Aaron Pryor,COMPETITIVE,NEWDEV2_093_E001,1982,Defeated Alexis Argüello by TKO in a celebrated junior-welterweight title defense.,NEWDEV2_093_E002,1987,"Suffered the first loss of his professional career, a TKO defeat to Bobby Joe Young during a troubled comeback.",CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_093_E001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:NEWDEV2_093_E002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,27,32,True,5,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_031,PREEXISTING_414_SOURCE_REVIEW,V2_NEW_DEV,MLV2_DEV_003,Jennifer Aniston,PROJECT,MLV2_DEV_003_E0001,1994,Friends premiered and launched her international fame,MLV2_DEV_003_E0003,2010,The Bounty Hunter was widely panned by critics and became a conspicuous low point in her film run.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_003_E0001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_003_E0003,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,25,41,True,16,1.0,1.0,2,0.5,True,True,True,1.0
V4PRE_PAIR_032,PREEXISTING_414_SOURCE_REVIEW,V2_NEW_DEV,MLV2_DEV_005,Julia Roberts,PROJECT,MLV2_DEV_005_E0001,1990,Pretty Woman became a global breakout hit,MLV2_DEV_005_E0002,1996,Mary Reilly was a major critical and box-office disappointment.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_005_E0001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_005_E0002,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,23,29,True,6,1.0,1.0,2,0.5,True,True,True,1.0
V4PRE_PAIR_033,PREEXISTING_414_SOURCE_REVIEW,V2_NEW_DEV,MLV2_DEV_007,Julie Delpy,PROJECT,MLV2_DEV_007_E0001,1995,Before Sunrise established her international art-house profile,MLV2_DEV_007_E0003,2009,Her directorial film The Countess received mixed-to-negative reviews and limited commercial impact.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_007_E0001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_007_E0003,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,26,40,True,14,1.0,1.0,3,0.3333333333333333,True,True,True,1.0
V4PRE_PAIR_034,PREEXISTING_414_SOURCE_REVIEW,V2_NEW_DEV,MLV2_DEV_007,Julie Delpy,PROJECT,MLV2_DEV_007_E0002,2004,Before Sunset earned major acclaim and screenplay recognition,MLV2_DEV_007_E0003,2009,Her directorial film The Countess received mixed-to-negative reviews and limited commercial impact.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_007_E0002,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_007_E0003,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,35,40,True,5,1.0,1.0,3,0.3333333333333333,True,True,True,1.0
V4PRE_PAIR_035,PREEXISTING_414_SOURCE_REVIEW,V2_NEW_DEV,MLV2_DEV_008,Jenna Elfman,PROJECT,MLV2_DEV_008_E0001,1997,Dharma & Greg became her breakout television role,MLV2_DEV_008_E0003,2002,"Dharma & Greg ended after five seasons, closing the series that had defined her breakout period.",CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_008_E0001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_008_E0003,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,26,31,True,5,1.0,1.0,1,1.0,True,True,True,1.0
V4PRE_PAIR_036,PREEXISTING_414_SOURCE_REVIEW,V2_NEW_DEV,MLV2_DEV_020,Cindy Sherman,PROJECT,MLV2_DEV_020_E0001,1981,Untitled Film Stills established major art-world recognition,MLV2_DEV_020_E0003,1997,Her feature-film directorial debut Office Killer received mixed reviews and very limited commercial exposure.,CONFIRMED_PREVIOUS_V4_REVIEW,CONFIRMED_PREVIOUS_V4_REVIEW,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_020_E0001,V4_CAREER_TAXONOMY_SOURCE_REVIEWED_414.csv:MLV2_DEV_020_E0003,legacy_confirmed_axis_outcome,legacy_confirmed_axis_outcome,True,27,43,True,16,1.0,1.0,1,1.0,True,True,True,1.0
