pool,subject_id,name,event_id,year,issue_code,severity,details
V1,MLV1_OLD_001,Donald Trump,MLV1_OLD_001_E0009,2025.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0020,1996.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0028,2000.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0023,2004.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0024,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0025,2009.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0029,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0027,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_002,Barack Obama,MLV1_OLD_002_E0031,2014.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_003,Michael Jackson,MLV1_OLD_003_E0033,1982.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_003,Michael Jackson,MLV1_OLD_003_E0035,1984.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_003,Michael Jackson,MLV1_OLD_003_E0036,1987.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_003,Michael Jackson,MLV1_OLD_003_E0037,1991.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_003,Michael Jackson,MLV1_OLD_003_E0039,1995.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_004,Justin Bieber,MLV1_OLD_004_E0049,2009.0,CAREER_EVENT_VERY_YOUNG,HIGH,Career event age 15.0 < 16; manual identity review required.
V1,MLV1_OLD_004,Justin Bieber,MLV1_OLD_004_E0049,2009.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_004,Justin Bieber,MLV1_OLD_004_E0051,2015.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_004,Justin Bieber,MLV1_OLD_004_E0054,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_004,Justin Bieber,MLV1_OLD_004_E0059,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_005,Chris Brown,MLV1_OLD_005_E0060,2005.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_005,Chris Brown,MLV1_OLD_005_E0061,2006.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_005,Chris Brown,MLV1_OLD_005_E0065,2009.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_005,Chris Brown,MLV1_OLD_005_E0063,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0073,1992.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0074,1993.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0080,1994.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0075,2000.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0082,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0077,2009.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_006,Hillary Clinton,MLV1_OLD_006_E0079,2025.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_007,Kamala Harris,MLV1_OLD_007_E0086,2003.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_007,Kamala Harris,MLV1_OLD_007_E0087,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_007,Kamala Harris,MLV1_OLD_007_E0089,2016.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_007,Kamala Harris,MLV1_OLD_007_E0090,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_007,Kamala Harris,MLV1_OLD_007_E0091,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0096,1976.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0097,1984.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0098,1992.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0099,1993.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0100,1996.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0102,2007.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_008,Al Gore,MLV1_OLD_008_E0103,2024.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_009,Amy Klobuchar,MLV1_OLD_009_E0109,1998.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_009,Amy Klobuchar,MLV1_OLD_009_E0110,2006.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_009,Amy Klobuchar,MLV1_OLD_009_E0111,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_009,Amy Klobuchar,MLV1_OLD_009_E0112,2018.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_011,Madonna,MLV1_OLD_011_E0130,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_012,Elizabeth Taylor,MLV1_OLD_012_E0138,1961.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_012,Elizabeth Taylor,MLV1_OLD_012_E0141,1967.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_013,Drake,MLV1_OLD_013_E0151,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_013,Drake,MLV1_OLD_013_E0152,2011.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_013,Drake,MLV1_OLD_013_E0157,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_014,Diana Ross,MLV1_OLD_014_E0162,1964.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_014,Diana Ross,MLV1_OLD_014_E0166,1980.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_014,Diana Ross,MLV1_OLD_014_E0168,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0173,1989.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0174,1990.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0175,1991.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0176,1996.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0177,1997.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0179,1998.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0184,1999.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_015,Dennis Rodman,MLV1_OLD_015_E0181,2011.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_016,John Ritter,MLV1_OLD_016_E0189,1984.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_016,John Ritter,MLV1_OLD_016_E0192,1985.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_016,John Ritter,MLV1_OLD_016_E0191,2002.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_017,Sean Penn,MLV1_OLD_017_E0198,2003.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_017,Sean Penn,MLV1_OLD_017_E0199,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_018,Björk,MLV1_OLD_018_E0209,2000.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_018,Björk,MLV1_OLD_018_E0210,2001.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_018,Björk,MLV1_OLD_018_E0212,2015.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0229,2013.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0225,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0226,2019.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0230,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0228,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0231,2024.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0233,2025.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_020,윤석열,MLV1_OLD_020_E0234,2025.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0235,2000.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0239,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0240,2014.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0236,2016.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0237,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0241,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_021,김부겸,MLV1_OLD_021_E0238,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_022,김어준,MLV1_OLD_022_E0242,1998.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_022,김어준,MLV1_OLD_022_E0248,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_023,박나래,MLV1_OLD_023_E0249,2006.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_023,박나래,MLV1_OLD_023_E0251,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_023,박나래,MLV1_OLD_023_E0254,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_024,박정희,MLV1_OLD_024_E0260,1948.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_024,박정희,MLV1_OLD_024_E0258,1963.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0264,2000.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0265,2006.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0266,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0271,2016.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0272,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0267,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0268,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_025,오세훈,MLV1_OLD_025_E0269,2026.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_026,홍준표,MLV1_OLD_026_E0274,1996.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_026,홍준표,MLV1_OLD_026_E0275,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_026,홍준표,MLV1_OLD_026_E0280,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_026,홍준표,MLV1_OLD_026_E0281,2018.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_026,홍준표,MLV1_OLD_026_E0282,2021.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_026,홍준표,MLV1_OLD_026_E0278,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_027,문재인,MLV1_OLD_027_E0289,2009.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_027,문재인,MLV1_OLD_027_E0287,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_028,박근혜,MLV1_OLD_028_E0292,1998.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_028,박근혜,MLV1_OLD_028_E0301,2007.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_028,박근혜,MLV1_OLD_028_E0294,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_028,박근혜,MLV1_OLD_028_E0295,2013.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_028,박근혜,MLV1_OLD_028_E0302,2016.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_028,박근혜,MLV1_OLD_028_E0303,2017.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_029,이건희,MLV1_OLD_029_E0306,1987.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_029,이건희,MLV1_OLD_029_E0308,1996.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_029,이건희,MLV1_OLD_029_E0311,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_029,이건희,MLV1_OLD_029_E0310,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_030,이재용,MLV1_OLD_030_E0316,2012.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_030,이재용,MLV1_OLD_030_E0317,2014.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_030,이재용,MLV1_OLD_030_E0319,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_030,이재용,MLV1_OLD_030_E0320,2024.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_031,봉준호,MLV1_OLD_031_E0334,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_031,봉준호,MLV1_OLD_031_E0335,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_032,김연아,MLV1_OLD_032_E0339,2009.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_032,김연아,MLV1_OLD_032_E0340,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_032,김연아,MLV1_OLD_032_E0341,2013.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_032,김연아,MLV1_OLD_032_E0342,2014.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_032,김연아,MLV1_OLD_032_E0347,2014.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_032,김연아,MLV1_OLD_032_E0343,2018.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_033,손흥민,MLV1_OLD_033_E0348,2010.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_033,손흥민,MLV1_OLD_033_E0350,2018.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_033,손흥민,MLV1_OLD_033_E0351,2019.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_033,손흥민,MLV1_OLD_033_E0352,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_033,손흥민,MLV1_OLD_033_E0353,2022.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_033,손흥민,MLV1_OLD_033_E0356,2025.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_034,장미희,MLV1_OLD_034_E0361,1976.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_034,장미희,MLV1_OLD_034_E0362,1978.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_034,장미희,MLV1_OLD_034_E0365,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_035,김희민,MLV1_OLD_035_E0375,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_037,박세리,MLV1_OLD_037_E0385,1998.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_037,박세리,MLV1_OLD_037_E0386,2001.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_037,박세리,MLV1_OLD_037_E0387,2007.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_037,박세리,MLV1_OLD_037_E0388,2016.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_037,박세리,MLV1_OLD_037_E0389,2020.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0393,1977.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0394,1992.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0400,1998.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0395,2002.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0396,2007.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0397,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_038,이명박,MLV1_OLD_038_E0401,2008.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
V1,MLV1_OLD_039,조용필,MLV1_OLD_039_E0408,2003.0,CAREER_EVENT_MISSING_SOURCE,HIGH,ML-usable Career label has no source_ref.
