index,batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason,source_quality_norm,fuzzy_primary_semantics
28,1,13,V5CONFIRM_068,Gianfranco Fini,STATUS,2008,positive,parliamentary_leadership_election,Elected President of the Italian Chamber of Deputies on 30 April 2008.,https://www.camera.it/deputati/elenco/16-23480,Gianfranco Fini - XVI Legislatura,Camera dei deputati,,high,Direct election to a top parliamentary authority post.,False,,high,False
30,1,15,V5CONFIRM_042,Annie Sprinkle,PROJECT,2021,positive,project_fellowship_award,Received a Guggenheim Fellowship supporting the film project Playing with Fire.,https://sprinklestephens.ucsc.edu/bios-and-cvs/,Bios and CVs,UC Santa Cruz / Sprinkle-Stephens,,high,Major competitive fellowship tied to a named creative project.,False,,high,False
34,1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,2003,positive,party_leadership_gain,Became chair of the SPD in Hesse in 2003.,https://parlamente.hessen.de/abgeordnete/138144990-ypsilanti-andrea,Andrea Ypsilanti,Hessischer Landtag,,high,Direct formal political leadership gain.,False,,high,False
35,1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,2007,positive,parliamentary_group_leadership_gain,Became leader of the SPD parliamentary group in Hesse in 2007.,https://parlamente.hessen.de/abgeordnete/138144990-ypsilanti-andrea,Andrea Ypsilanti,Hessischer Landtag,,high,Direct formal political leadership gain.,False,,high,False
1,2,1,V5CONFIRM_025,Katharine McPhee,PROJECT,2007,positive,album_chart_success,Her self-titled debut album entered the Billboard albums chart at No. 2.,https://www.sonymusic.co.jp/artist/katharinemcphee/profile/,Katharine McPhee profile,Sony Music,,high,Major named project commercial success.,False,,high,False
2,2,2,V5CONFIRM_036,Jim Morrison,PROJECT,1968,positive,album_number_one,The Doors' Waiting for the Sun became the band's first and only U.S. No. 1 album.,https://www.rhino.com/article/the-doors,The Doors,Rhino,,high,Major named project commercial success.,False,,high,False
4,2,4,V5CONFIRM_049,Marina Berlusconi,STATUS,1996,positive,corporate_board_leadership_gain,Became Deputy Chair of Fininvest in July 1996.,https://fininvest.it/en/corporate-governance/board-of-directors/,Board of Directors,Fininvest,,high,Direct formal corporate authority gain.,False,,high,False
5,2,4,V5CONFIRM_049,Marina Berlusconi,STATUS,2003,positive,corporate_chair_appointment,Became Chair of Mondadori in February 2003.,https://fininvest.it/en/corporate-governance/board-of-directors/,Board of Directors,Fininvest,,high,Direct formal corporate authority gain.,False,,high,False
6,2,4,V5CONFIRM_049,Marina Berlusconi,STATUS,2005,positive,corporate_chair_appointment,Became Chair of Fininvest in October 2005.,https://fininvest.it/en/corporate-governance/board-of-directors/,Board of Directors,Fininvest,,high,Direct formal corporate authority gain.,False,,high,False
13,2,7,V5CONFIRM_066,Fritz Fischer,STATUS,1948,positive,professorship_appointment,Appointed full professor at the University of Hamburg in 1948.,https://www.historians.org/perspectives-article/fritz-fischer-1908-99-march-2000/,"Fritz Fischer, 1908-99",American Historical Association,,high,Formal senior institutional position gain.,False,,high,False
14,2,8,V5CONFIRM_045,Robert Bresson,PROJECT,1957,positive,festival_directing_award,Won Best Director at Cannes for A Man Escaped in 1957.,https://www.festival-cannes.com/en/p/robert-bresson/,Robert Bresson,Festival de Cannes,,high,Major project-specific award.,False,,high,False
15,2,8,V5CONFIRM_045,Robert Bresson,PROJECT,1962,positive,festival_jury_award,The Trial of Joan of Arc received a Cannes Special Jury Prize in 1962.,https://www.festival-cannes.com/en/p/robert-bresson/,Robert Bresson,Festival de Cannes,,high,Major project-specific festival award.,False,,high,False
16,2,8,V5CONFIRM_045,Robert Bresson,PROJECT,1974,positive,festival_critics_award,Lancelot du Lac received the FIPRESCI Prize at Cannes in 1974.,https://www.festival-cannes.com/en/p/robert-bresson/,Robert Bresson,Festival de Cannes,,high,Major project-specific festival award.,False,,high,False
17,2,8,V5CONFIRM_045,Robert Bresson,PROJECT,1983,positive,festival_grand_prix,L'Argent received the Cannes Grand Prix du cinéma de création in 1983.,https://www.festival-cannes.com/en/p/robert-bresson/,Robert Bresson,Festival de Cannes,,high,Major project-specific festival award.,False,,high,False
18,2,9,V5CONFIRM_075,Gerd Bucerius,STATUS,1949,positive,parliament_election_win,Elected to the German Bundestag in 1949.,https://www.hamburg.de/politik-und-verwaltung/senat/hamburger-ehrenbuerger/ehrenbuerger-1813-bis-heute/gerd-bucerius-238118,Gerd Bucerius,Freie und Hansestadt Hamburg,,high,Direct elected-office gain.,False,,high,False
20,2,10,V5CONFIRM_029,Matt Dillon,PROJECT,2006,positive,academy_award_nomination,Received an Academy Award nomination for Supporting Actor for Crash at the 2006 Oscars.,https://www.oscars.org/oscars/ceremonies/2006/A--E,The 78th Academy Awards | 2006,Academy of Motion Picture Arts and Sciences,,high,Major project-specific recognition.,False,,high,False
23,2,13,V5CONFIRM_057,Daniel Wildenstein,STATUS,1963,positive,family_business_control_gain,Assumed control of the family's international art-dealing operations after his father's death.,https://www.wildenstein.com/history/,History,Wildenstein & Co.,,high,Direct formal control/authority gain in the family enterprise.,False,,high,False
25,2,15,V5CONFIRM_021,Mattiwilda Dobbs,PROJECT,1956,positive,major_opera_debut,Made her Metropolitan Opera debut as Gilda in Rigoletto in November 1956.,https://archives.metopera.org/MetOperaSearch/record.jsp?dockey=0370868,Metropolitan Opera performance record,Metropolitan Opera Archives,,high,Major named performance/project milestone.,False,,high,False
28,2,17,V5CONFIRM_016,Boomer Esiason,COMPETITIVE,1988,positive,league_mvp,Won the NFL Most Valuable Player award for the 1988 season.,https://www.bengals.com/news/1988,1988 Cincinnati Bengals,Cincinnati Bengals,,high,Major elite league competitive award.,False,,high,False
29,2,17,V5CONFIRM_016,Boomer Esiason,COMPETITIVE,1989,negative,championship_final_loss,Lost Super Bowl XXIII with Cincinnati to San Francisco in January 1989.,https://www.bengals.com/news/1988,1988 Cincinnati Bengals,Cincinnati Bengals,,high,Direct championship-final defeat.,False,,high,False
30,2,18,V5CONFIRM_056,Hans Fritzsche,STATUS,1942,positive,government_media_leadership_appointment,Rose to ministerial-director/radio leadership responsibility in the Propaganda Ministry in 1942.,https://nuremberg.law.harvard.edu/documents/1369-affidavit-listing-fritzsches-membership?mode=text,Affidavit listing Fritzsche's positions,Harvard Nuremberg Trials Project,,high,Direct formal governmental authority gain.,False,,high,False
31,2,19,V5CONFIRM_067,Seymour Cray,STATUS,1957,positive,corporate_cofounder_director,Co-founded Control Data Corporation and served as a director beginning in 1957.,https://americanhistory.si.edu/comphist/montic/cray.htm,Seymour Cray,Smithsonian Institution,,high,Direct organizational authority gain.,False,,high,False
32,2,19,V5CONFIRM_067,Seymour Cray,STATUS,1972,positive,company_founder_control_gain,Founded Cray Research in 1972.,https://www.computer.org/volunteering/awards/cray/about-cray,About Seymour Cray,IEEE Computer Society,,high,Direct founder/control authority gain.,False,,high,False
33,2,19,V5CONFIRM_067,Seymour Cray,STATUS,1989,positive,company_founder_control_gain,Started Cray Computer Corporation in 1989.,https://americanhistory.si.edu/comphist/montic/cray.htm,Seymour Cray,Smithsonian Institution,,high,Direct founder/control authority gain.,False,,high,False
34,2,20,V5CONFIRM_031,Gregory Peck,PROJECT,1963,positive,academy_award_win,Won the Academy Award for Best Actor for To Kill a Mockingbird in 1963.,https://www.oscars.org/oscars/ceremonies/1963,The 35th Academy Awards | 1963,Academy of Motion Picture Arts and Sciences,,high,Major project-specific award win.,False,,high,False
1,3,2,V5CONFIRM_026,Marilyn Manson,PROJECT,1998,positive,album_chart_success,"Mechanical Animals reached the UK Top 10, peaking at No. 8.",https://www.officialcharts.com/artist/18995/marilyn-manson/,Marilyn Manson full Official Chart history,Official Charts Company,,high,Major named album chart success.,False,,high,False
2,3,2,V5CONFIRM_026,Marilyn Manson,PROJECT,2000,positive,album_chart_success,Holy Wood reached the UK Top 40 and charted for multiple weeks.,https://www.officialcharts.com/artist/18995/marilyn-manson/,Marilyn Manson full Official Chart history,Official Charts Company,,high,Named album commercial chart success.,False,,high,False
5,3,4,V5CONFIRM_022,Arielle Dombasle,PROJECT,1999,positive,cesar_nomination,Nominated for the César for Best Supporting Actress for L'Ennui in 1999.,https://www.academie-cinema.org/personnes/174416/,Arielle Dombasle,Académie des César,,high,Major project-specific award recognition.,False,,high,False
6,3,4,V5CONFIRM_022,Arielle Dombasle,PROJECT,2013,positive,festival_selection_director,Her directed feature Opium was selected for Cannes Classics in 2013.,https://www.festival-cannes.com/en/p/arielle-dombasle/,Arielle Dombasle,Festival de Cannes,,high,Major festival selection for a directed project.,False,,high,False
10,3,7,V5CONFIRM_001,Tracy Austin,COMPETITIVE,1979,positive,grand_slam_title_win,Won the U.S. Open women's singles title in 1979.,https://www.tennisfame.com/hall-of-famers/inductees/tracy-austin,Tracy Austin,International Tennis Hall of Fame,,high,Direct Grand Slam title.,False,,high,False
11,3,7,V5CONFIRM_001,Tracy Austin,COMPETITIVE,1980,negative,grand_slam_semifinal_loss,Was eliminated in the Wimbledon singles semifinal in 1980.,https://www.tennisfame.com/hall-of-famers/inductees/tracy-austin,Tracy Austin,International Tennis Hall of Fame,,high,Direct Grand Slam elimination.,False,,high,False
12,3,7,V5CONFIRM_001,Tracy Austin,COMPETITIVE,1981,positive,grand_slam_title_win,Won the U.S. Open women's singles title again in 1981.,https://www.tennisfame.com/hall-of-famers/inductees/tracy-austin,Tracy Austin,International Tennis Hall of Fame,,high,Direct Grand Slam title.,False,,high,False
20,3,11,V5CONFIRM_041,Orson Welles,PROJECT,1942,negative,studio_project_failure,"The Magnificent Ambersons was taken out of Welles's control, heavily recut, and failed to recoup costs amid his termination from RKO.",https://catalog.afi.com/Film/27328-THE-MAGNIFICENTAMBERSONS,The Magnificent Ambersons,AFI Catalog,,high,Explicit major project failure / loss of project control.,False,,high,False
21,3,12,V5CONFIRM_013,Ronnie Harris,COMPETITIVE,1968,positive,olympic_gold,Won Olympic lightweight boxing gold at the 1968 Mexico City Games.,https://www.olympedia.org/athletes/8688,Ronnie Harris,Olympedia,,high,Direct Olympic championship win.,False,,high,False
22,3,12,V5CONFIRM_013,Ronnie Harris,COMPETITIVE,1978,negative,world_title_fight_loss,Lost a WBA middleweight world-title fight to Hugo Corro in 1978.,https://www.olympedia.org/athletes/8688,Ronnie Harris,Olympedia,,high,Direct world-title bout loss.,False,,high,False
23,3,12,V5CONFIRM_013,Ronnie Harris,COMPETITIVE,1979,positive,regional_title_win,Won the NABF middleweight title in 1979.,https://www.olympedia.org/athletes/8688,Ronnie Harris,Olympedia,,high,Direct high-level title win.,False,,high,False
24,3,12,V5CONFIRM_013,Ronnie Harris,COMPETITIVE,1980,negative,regional_title_loss,Lost the NABF middleweight title in 1980.,https://www.olympedia.org/athletes/8688,Ronnie Harris,Olympedia,,high,Direct title loss.,False,,high,False
25,3,14,V5CONFIRM_077,Michel Rocard,STATUS,1988,positive,prime_minister_appointment,Appointed Prime Minister of France in 1988.,https://www.info.gouv.fr/les-anciens-premiers-et-premieres-ministres-de-la-ve-republique/michel-rocard,Michel Rocard,Gouvernement français,,high,Direct national executive authority gain.,False,,high,False
26,3,14,V5CONFIRM_077,Michel Rocard,STATUS,1991,negative,forced_prime_minister_exit,Left the prime ministership in May 1991 after President Mitterrand requested his resignation.,https://www.info.gouv.fr/les-anciens-premiers-et-premieres-ministres-de-la-ve-republique/michel-rocard,Michel Rocard,Gouvernement français,,high,Direct loss of executive authority after presidential request.,False,,high,False
27,3,15,V5CONFIRM_069,Heinrich Hellwege,STATUS,1955,positive,minister_president_election,Elected Minister-President of Lower Saxony on 26 May 1955.,https://www.stk.niedersachsen.de/startseite/der_ministerprasident/niedersachsens_ministerprasidenten_seit_1946/ahnengalerie-der-niedersachsischen-ministerprasidenten-3401.html,Niedersachsens Ministerpräsidenten seit 1946,Niedersächsische Staatskanzlei,,high,Direct election to top state executive office.,False,,high,False
33,3,17,V5CONFIRM_064,Bobby Rahal,STATUS,2000,positive,series_ceo_appointment,Served as interim president/CEO of Championship Auto Racing Teams in 2000.,https://imsmuseum.org/fame_inductee/bobby-rahal/,Bobby Rahal,Indianapolis Motor Speedway Museum,,high,Direct formal organizational authority gain.,False,,high,False
34,3,18,V5CONFIRM_030,Marco Ferreri,PROJECT,1973,positive,festival_critics_award,La Grande Bouffe received the FIPRESCI Prize at Cannes in 1973.,https://www.festival-cannes.com/en/p/marco-ferreri/,Marco Ferreri,Festival de Cannes,,high,Major project-specific festival award.,False,,high,False
35,3,18,V5CONFIRM_030,Marco Ferreri,PROJECT,1978,positive,festival_grand_prix,Ciao Maschio received the Jury Special Grand Prix at Cannes in 1978.,https://www.festival-cannes.com/en/p/marco-ferreri/,Marco Ferreri,Festival de Cannes,,high,Major project-specific festival award.,False,,high,False
1,4,1,V5CONFIRM_018,Sergi Bruguera,COMPETITIVE,1993,positive,grand_slam_title_win,Won the Roland-Garros men's singles title in 1993.,https://www.rolandgarros.com/en-us/video/1993-1994-sergi-bruguera-double-victory-roland-garros/,1993-1994: Sergi Bruguera clinches a double victory,Roland-Garros,,high,Direct Grand Slam title.,False,,high,False
2,4,1,V5CONFIRM_018,Sergi Bruguera,COMPETITIVE,1994,positive,grand_slam_title_win,Successfully defended the Roland-Garros men's singles title in 1994.,https://www.rolandgarros.com/en-us/video/1993-1994-sergi-bruguera-double-victory-roland-garros/,1993-1994: Sergi Bruguera clinches a double victory,Roland-Garros,,high,Direct Grand Slam title.,False,,high,False
3,4,1,V5CONFIRM_018,Sergi Bruguera,COMPETITIVE,1997,negative,grand_slam_final_loss,Lost the 1997 Roland-Garros final to Gustavo Kuerten.,https://www.rolandgarros.com/en-us/article/rg-archives-epic-match-kuerten-muster-1997-third-round,"One day, one epic match: Kuerten - Muster (3rd round 1997)",Roland-Garros,,high,Direct Grand Slam final defeat.,False,,high,False
4,4,2,V5CONFIRM_047,Liliane Bettencourt,STATUS,2011,positive,board_term_renewal,L'Oréal shareholders renewed Liliane Bettencourt's board directorship for a four-year term in 2011.,https://www.loreal-finance.com/eng/news-release/annual-general-meeting-april-22-2011,"Annual General Meeting of April 22, 2011",L'Oréal Finance,,high,Formal corporate-governance authority retained/renewed.,False,,high,False
6,4,3,V5CONFIRM_033,Hélène Grimaud,PROJECT,2013,positive,recording_award,"Duo, recorded with Sol Gabetta, won the 2013 Echo Klassik chamber recording of the year award.",https://www.deutschegrammophon.com/en/artists/helenegrimaud/biography,Hélène Grimaud - Biography,Deutsche Grammophon,,high,Major named recording-project award.,False,,high,False
7,4,3,V5CONFIRM_033,Hélène Grimaud,PROJECT,2016,positive,major_installation_recording,Water documented the critically acclaimed immersive Park Avenue Armory project tears become… streams become….,https://www.deutschegrammophon.com/en/artists/helenegrimaud/biography,Hélène Grimaud - Biography,Deutsche Grammophon,,high,Major named project with strong critical/institutional success.,False,,high,False
8,4,4,V5CONFIRM_024,Nadine Trintignant,PROJECT,1967,positive,cannes_competition_selection,"Her film Mon amour, mon amour was selected in Competition at the 1967 Cannes Film Festival.",https://www.festival-cannes.com/en/f/mon-amour-mon-amour/,"Mon amour, mon amour",Festival de Cannes,,high,Major festival competition selection for her directed project.,False,,high,False
9,4,5,V5CONFIRM_074,Horst Wessel,STATUS,1929,positive,paramilitary_command_gain,By 1929 Wessel was leading an SA storm troop in Berlin/Friedrichshain.,https://germanhistorydocs.org/en/weimar-germany-1918-1933/horst-wessel-at-the-head-of-his-storm-troops-in-nuremburg-august-1929,Horst Wessel Leading His SA Storm Troops in Nuremberg (August 1929),German History in Documents and Images,,high,"Direct formal command position gain; polarity denotes authority direction, not moral approval.",False,,high,False
11,4,6,V5CONFIRM_003,Pauline Betz,COMPETITIVE,1941,negative,grand_slam_final_loss,Finished runner-up at the U.S. Nationals women's singles in 1941.,https://www.tennisfame.com/hall-of-famers/inductees/pauline-betz-addie,Pauline Betz Addie,International Tennis Hall of Fame,,high,Direct major final defeat.,False,,high,False
12,4,6,V5CONFIRM_003,Pauline Betz,COMPETITIVE,1942,positive,grand_slam_title_win,Won the U.S. Nationals women's singles title in 1942.,https://www.tennisfame.com/hall-of-famers/inductees/pauline-betz-addie,Pauline Betz Addie,International Tennis Hall of Fame,,high,Direct major title.,False,,high,False
13,4,6,V5CONFIRM_003,Pauline Betz,COMPETITIVE,1945,negative,grand_slam_final_loss,Finished runner-up at the U.S. Nationals women's singles in 1945.,https://www.tennisfame.com/hall-of-famers/inductees/pauline-betz-addie,Pauline Betz Addie,International Tennis Hall of Fame,,high,Direct major final defeat.,False,,high,False
14,4,6,V5CONFIRM_003,Pauline Betz,COMPETITIVE,1946,positive,grand_slam_title_win,Won Wimbledon and the U.S. Nationals women's singles titles in 1946.,https://www.tennisfame.com/hall-of-famers/inductees/pauline-betz-addie,Pauline Betz Addie,International Tennis Hall of Fame,,high,Direct major title(s).,False,,high,False
15,4,7,V5CONFIRM_055,Umberto Agnelli,STATUS,1959,positive,federation_presidency_gain,Became president of the Italian Football Federation (FIGC) in August 1959.,https://www.figc.it/it/full-html?path=%2Ffederazione%2Fla-federazione%2Ftutti-i-presidenti-federali%2Fumberto-agnelli,Umberto Agnelli,FIGC,,high,Direct formal federation authority gain.,False,,high,False
16,4,7,V5CONFIRM_055,Umberto Agnelli,STATUS,2003,positive,corporate_presidency_gain,Succeeded to the presidency of FIAT in 2003.,https://www.figc.it/it/full-html?path=%2Ffederazione%2Fla-federazione%2Ftutti-i-presidenti-federali%2Fumberto-agnelli,Umberto Agnelli,FIGC,,high,Direct top corporate authority gain.,False,,high,False
18,4,9,V5CONFIRM_071,Jack Valenti,STATUS,1966,positive,association_presidency_gain,Became president of the Motion Picture Association of America in 1966.,https://en.jfa.huji.ac.il/book/jack-valenti,Jack Valenti,Steven Spielberg Jewish Film Archive / Hebrew University,,high,Direct formal industry-association authority gain.,False,,high,False
20,4,10,V5CONFIRM_076,François Fillon,STATUS,2007,positive,prime_minister_appointment,Appointed Prime Minister of France on 17 May 2007.,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000649193,Décret du 17 mai 2007 portant nomination du Premier ministre,Légifrance,,high,Direct national executive authority gain.,False,,high,False
21,4,10,V5CONFIRM_076,François Fillon,STATUS,2017,negative,presidential_election_defeat,Finished third with 20.01% in the first round of the 2017 presidential election and did not advance.,https://www.archives-resultats-elections.interieur.gouv.fr/resultats/presidentielle-2017/FE.php,Election présidentielle 2017 - France entière,Ministère de l'Intérieur,,high,Direct electoral defeat for top executive office.,False,,high,False
22,4,11,V5CONFIRM_017,Patrick Vieira,COMPETITIVE,1998,positive,world_cup_win,Won the 1998 FIFA World Cup with France; he appeared in the final victory over Brazil.,https://www.fff.fr/equipe-nationale/joueur/9648-vieira-patrick/fiche.html,Patrick Vieira,Fédération Française de Football,,high,Direct world championship win.,False,,high,False
23,4,11,V5CONFIRM_017,Patrick Vieira,COMPETITIVE,2006,negative,world_cup_final_loss,"Played in France's 2006 World Cup final, which ended in defeat to Italy on penalties.",https://www.fff.fr/equipe-nationale/joueur/9648-vieira-patrick/fiche.html,Patrick Vieira,Fédération Française de Football,,high,Direct world championship-final defeat.,False,,high,False
24,4,12,V5CONFIRM_037,Oliver Stone,PROJECT,1987,positive,academy_directing_win,Won the Academy Award for Directing for Platoon at the 1987 Oscars.,https://www.oscars.org/oscars/ceremonies/1987/a,The 59th Academy Awards | 1987,Academy of Motion Picture Arts and Sciences,,high,Major project-specific award win.,False,,high,False
25,4,12,V5CONFIRM_037,Oliver Stone,PROJECT,1990,positive,academy_directing_win,Won the Academy Award for Directing for Born on the Fourth of July at the 1990 Oscars.,https://www.oscars.org/oscars/ceremonies/1990,The 62nd Academy Awards | 1990,Academy of Motion Picture Arts and Sciences,,high,Major project-specific award win.,False,,high,False
27,4,13,V5CONFIRM_009,Hans Günter Winkler,COMPETITIVE,1954,positive,world_championship_win,Won the individual Jumping World Championship in Madrid in 1954.,https://www.fei.org/history/fei-world-championships/1954-madrid-spain,FEI World Championships 1954,FEI,,high,Direct world championship win.,False,,high,False
28,4,13,V5CONFIRM_009,Hans Günter Winkler,COMPETITIVE,1956,positive,olympic_gold,Won both individual and team Olympic jumping gold in 1956.,https://www.fei.org/history/olympic-games/1956-melbourne-australia,Olympic Games 1956,FEI,,high,Direct Olympic championship result.,False,,high,False
29,4,13,V5CONFIRM_009,Hans Günter Winkler,COMPETITIVE,1976,positive,olympic_team_medal,"Won an Olympic team jumping medal with West Germany in 1976, completing a record medal span.",https://www.fei.org/history/olympic-games/1976-montreal-canada,Olympic Games 1976,FEI,,high,Direct Olympic podium result.,False,,high,False
30,4,14,V5CONFIRM_023,Belinda Carlisle,PROJECT,1987,positive,single_number_one,Heaven Is a Place on Earth reached No. 1 on the Official Singles Chart.,https://www.officialcharts.com/songs/belinda-carlisle-heaven-is-a-place-on-earth/,Heaven Is a Place on Earth - Belinda Carlisle,Official Charts Company,,high,Major named project chart success.,False,,high,False
31,4,14,V5CONFIRM_023,Belinda Carlisle,PROJECT,1988,positive,album_top_five,Heaven on Earth reached No. 4 on the Official Albums Chart and spent nine weeks in the Top 10.,https://www.officialcharts.com/albums/belinda-carlisle-heaven-on-earth/,Heaven on Earth - Belinda Carlisle,Official Charts Company,,high,Major named album chart success.,False,,high,False
36,4,16,V5CONFIRM_027,David Morse,PROJECT,2007,positive,emmy_nomination,Received a Primetime Emmy nomination for guest actor in House in 2007.,https://www.televisionacademy.com/bios/david-morse,David Morse,Television Academy,,high,Major project-specific award recognition.,False,,high,False
37,4,16,V5CONFIRM_027,David Morse,PROJECT,2008,positive,emmy_nomination,Received a Primetime Emmy nomination for supporting actor in John Adams in 2008.,https://www.televisionacademy.com/bios/david-morse,David Morse,Television Academy,,high,Major project-specific award recognition.,False,,high,False
38,4,17,V5CONFIRM_053,Malcolm X,STATUS,1964,negative,formal_role_removal,Removed as the Nation of Islam's national representative and minister of Harlem Temple No. 7 on 6 January 1964.,https://www.pbs.org/wgbh/americanexperience/features/malcolmx-timeline-malcolm-xs-life/,Timeline of Malcolm X's Life,PBS American Experience,,high,Direct loss of formal organizational authority.,False,,high,False
39,4,17,V5CONFIRM_053,Malcolm X,STATUS,1964,positive,organization_founder_leadership,"Formed Muslim Mosque, Inc. and the Organization of Afro-American Unity after leaving the Nation of Islam.",https://www.pbs.org/wgbh/americanexperience/features/malcolmx-timeline-malcolm-xs-life/,Timeline of Malcolm X's Life,PBS American Experience,,high,Formal founder/leader authority gain in new organizations.,False,,high,False
41,4,18,V5CONFIRM_054,Charles Wilson,STATUS,1961,positive,university_principal_appointment,Became Principal and Vice-Chancellor of the University of Glasgow in 1961.,https://www.gla.ac.uk/news/archiveofnews/2002/november/headline_29870_en.html,Funeral service - Sir Charles Wilson,University of Glasgow,,high,Direct formal institutional authority gain.,False,,high,False
